fold,indice_original,score,predicao
1,2995,5.5931644497573405,1
1,3002,4.105785581369817,1
1,3011,6.425788510520052,1
1,3012,8.356818893851477,1
1,3014,0.9934529906071603,1
1,3015,3.0513323692433456,1
1,3017,6.102446229504002,1
1,3021,6.048053518213093,1
1,3024,6.66733818417419,1
1,3025,4.248872531579659,1
1,3034,1.595834848039189,1
1,3043,5.783575595598441,1
1,3045,0.0038686437098007787,1
1,3047,7.037674909694699,1
1,3055,7.099560994894224,1
1,3058,6.27109309444093,1
1,3059,4.000594310952106,1
1,3060,6.269300937950236,1
1,3061,4.215942182438402,1
1,3063,2.91022911568694,1
1,3064,7.367051221161118,1
1,3065,5.628258761206572,1
1,3070,3.1975052992893076,1
1,3071,2.2442130614720295,1
1,3077,0.6515321033082859,1
1,3078,2.172665820410568,1
1,3079,8.35501361628686,1
1,3080,5.669164642146859,1
1,3082,7.59681296407007,1
1,3094,5.511960916739744,1
1,3100,5.070697025490881,1
1,3101,4.632184384966235,1
1,3107,6.4676723375826075,1
1,3118,6.05995949004963,1
1,3123,8.026174794368186,1
1,3125,1.2475807485084278,1
1,3126,4.346360849237955,1
1,3127,6.191758978566691,1
1,3128,-1.5044383033018676,-1
1,3130,7.524035698074568,1
1,3131,-1.2589040155256424,-1
1,3132,-2.1626739768248324,-1
1,3143,7.310896350661681,1
1,3146,6.79714629891353,1
1,3148,8.172499315290276,1
1,3149,3.33705490552253,1
1,3154,5.692816265689784,1
1,3160,4.637097322465388,1
1,3172,4.933700005890151,1
1,3181,6.297844477755165,1
1,3184,3.8702282268636043,1
1,3194,6.097140463130488,1
1,3204,6.7456567318379985,1
1,3206,3.6706279097262495,1
1,3208,6.520396048671033,1
1,3210,4.028034438393428,1
1,3231,3.4844951238178297,1
1,3238,5.498240979306809,1
1,3245,8.347207864408302,1
1,3251,1.3573509517830686,1
1,3257,5.234874141212634,1
1,3272,0.21683169256221824,1
1,3274,4.590005291077512,1
1,3282,2.447537865937864,1
1,3284,4.392092662138319,1
1,3287,7.198516239424903,1
1,3290,1.7713642301506702,1
1,3295,5.700892150311661,1
1,3297,6.985527113054095,1
1,3298,3.4625359903817827,1
1,3299,4.318907005699986,1
1,3305,1.827376023291686,1
1,3309,-2.1836192718370597,-1
1,3312,8.295167613461539,1
1,3314,5.291025365551098,1
1,3316,2.770200537945964,1
1,3317,2.94916420008394,1
1,3320,-4.672836864631524,-1
1,3328,4.903054012214104,1
1,3329,4.618484007236594,1
1,3333,6.794996054486608,1
1,3334,7.239564894894469,1
1,3350,5.353807775632125,1
1,3351,6.146660412319834,1
1,3352,2.9620938710811835,1
1,3375,4.625648167444178,1
1,3379,0.5419652919300564,1
1,3381,0.2023962567654518,1
1,3383,4.275280755522784,1
1,3387,-4.5618730178475495,-1
1,3396,8.419313425520754,1
1,3399,4.9410161847081735,1
1,3400,4.4219715227406,1
1,3404,7.700244795663059,1
